
[0/30][0/1583]	Loss_D: 1.4293	Loss_G: 2.8083	D(x): 0.5445	D(G(z)): 0.5491 / 0.0628
[0/30][500/1583]	Loss_D: 0.5185	Loss_G: 3.5243	D(x): 0.8666	D(G(z)): 0.2767 / 0.0385
[0/30][1000/1583]	Loss_D: 0.4463	Loss_G: 4.7434	D(x): 0.8770	D(G(z)): 0.2383 / 0.0137
[0/30][1500/1583]	Loss_D: 1.4327	Loss_G: 7.3460	D(x): 0.9816	D(G(z)): 0.6663 / 0.0011
[1/30][0/1583]	Loss_D: 0.6870	Loss_G: 2.5095	D(x): 0.5731	D(G(z)): 0.0362 / 0.1067
[1/30][500/1583]	Loss_D: 0.5081	Loss_G: 4.2251	D(x): 0.8990	D(G(z)): 0.2982 / 0.0210
[1/30][1000/1583]	Loss_D: 0.4819	Loss_G: 3.3610	D(x): 0.9623	D(G(z)): 0.3267 / 0.0478
[1/30][1500/1583]	Loss_D: 1.6051	Loss_G: 0.6094	D(x): 0.2609	D(G(z)): 0.0057 / 0.5949
[2/30][0/1583]	Loss_D: 0.6119	Loss_G: 4.5394	D(x): 0.9596	D(G(z)): 0.3927 / 0.0169
[2/30][500/1583]	Loss_D: 0.3535	Loss_G: 3.6234	D(x): 0.9525	D(G(z)): 0.2404 / 0.0357
[2/30][1000/1583]	Loss_D: 0.3361	Loss_G: 2.5510	D(x): 0.8034	D(G(z)): 0.0921 / 0.0959
[2/30][1500/1583]	Loss_D: 0.8081	Loss_G: 6.2873	D(x): 0.9734	D(G(z)): 0.4990 / 0.0027
[3/30][0/1583]	Loss_D: 0.6127	Loss_G: 4.6735	D(x): 0.9585	D(G(z)): 0.3947 / 0.0129
[3/30][500/1583]	Loss_D: 0.2323	Loss_G: 4.5799	D(x): 0.8224	D(G(z)): 0.0206 / 0.0190
[3/30][1000/1583]	Loss_D: 0.4135	Loss_G: 2.3077	D(x): 0.8493	D(G(z)): 0.1881 / 0.1323
[3/30][1500/1583]	Loss_D: 0.4534	Loss_G: 5.7451	D(x): 0.9709	D(G(z)): 0.3123 / 0.0046
[4/30][0/1583]	Loss_D: 0.2650	Loss_G: 2.6038	D(x): 0.8005	D(G(z)): 0.0219 / 0.1096
[4/30][500/1583]	Loss_D: 0.2394	Loss_G: 2.9408	D(x): 0.8802	D(G(z)): 0.0918 / 0.0697
[4/30][1000/1583]	Loss_D: 0.3179	Loss_G: 4.0735	D(x): 0.9462	D(G(z)): 0.2141 / 0.0228
[4/30][1500/1583]	Loss_D: 1.3174	Loss_G: 0.7894	D(x): 0.3921	D(G(z)): 0.0277 / 0.5250
[5/30][0/1583]	Loss_D: 0.1608	Loss_G: 3.3378	D(x): 0.9117	D(G(z)): 0.0607 / 0.0563
[5/30][500/1583]	Loss_D: 0.2594	Loss_G: 4.6978	D(x): 0.9675	D(G(z)): 0.1898 / 0.0124
[5/30][1000/1583]	Loss_D: 0.1857	Loss_G: 3.0100	D(x): 0.8978	D(G(z)): 0.0644 / 0.0768
[5/30][1500/1583]	Loss_D: 0.5931	Loss_G: 1.9681	D(x): 0.7067	D(G(z)): 0.1122 / 0.1879
[6/30][0/1583]	Loss_D: 0.2497	Loss_G: 4.3331	D(x): 0.9133	D(G(z)): 0.1268 / 0.0193
[6/30][500/1583]	Loss_D: 0.3478	Loss_G: 2.7915	D(x): 0.8599	D(G(z)): 0.1408 / 0.1071
[6/30][1000/1583]	Loss_D: 0.1491	Loss_G: 4.3521	D(x): 0.8970	D(G(z)): 0.0303 / 0.0218
[6/30][1500/1583]	Loss_D: 0.1882	Loss_G: 5.0622	D(x): 0.9761	D(G(z)): 0.1390 / 0.0098
[7/30][0/1583]	Loss_D: 0.4910	Loss_G: 3.0803	D(x): 0.7248	D(G(z)): 0.0756 / 0.0786
[7/30][500/1583]	Loss_D: 0.2812	Loss_G: 3.3466	D(x): 0.7992	D(G(z)): 0.0211 / 0.0545
[7/30][1000/1583]	Loss_D: 1.3302	Loss_G: 6.4343	D(x): 0.9751	D(G(z)): 0.6325 / 0.0043
[7/30][1500/1583]	Loss_D: 0.4871	Loss_G: 1.9463	D(x): 0.7524	D(G(z)): 0.1103 / 0.2092
[8/30][0/1583]	Loss_D: 0.1460	Loss_G: 4.2397	D(x): 0.9645	D(G(z)): 0.0973 / 0.0212
[8/30][500/1583]	Loss_D: 0.1072	Loss_G: 3.6409	D(x): 0.9620	D(G(z)): 0.0618 / 0.0415
[8/30][1000/1583]	Loss_D: 1.0409	Loss_G: 3.5449	D(x): 0.8947	D(G(z)): 0.4670 / 0.1877
[8/30][1500/1583]	Loss_D: 0.2278	Loss_G: 2.6703	D(x): 0.8690	D(G(z)): 0.0647 / 0.1081
[9/30][0/1583]	Loss_D: 0.1007	Loss_G: 4.1873	D(x): 0.9589	D(G(z)): 0.0527 / 0.0253
[9/30][500/1583]	Loss_D: 0.8054	Loss_G: 2.2720	D(x): 0.5359	D(G(z)): 0.0158 / 0.1605
[9/30][1000/1583]	Loss_D: 0.2212	Loss_G: 4.5785	D(x): 0.9270	D(G(z)): 0.1142 / 0.0163
[9/30][1500/1583]	Loss_D: 0.0446	Loss_G: 4.2675	D(x): 0.9845	D(G(z)): 0.0278 / 0.0244
[10/30][0/1583]	Loss_D: 0.2595	Loss_G: 4.2044	D(x): 0.9124	D(G(z)): 0.1305 / 0.0289
[10/30][500/1583]	Loss_D: 0.3269	Loss_G: 5.8497	D(x): 0.9931	D(G(z)): 0.2420 / 0.0046
[10/30][1000/1583]	Loss_D: 0.1348	Loss_G: 4.2148	D(x): 0.9349	D(G(z)): 0.0525 / 0.0248
[10/30][1500/1583]	Loss_D: 1.4583	Loss_G: 9.1624	D(x): 0.9978	D(G(z)): 0.6626 / 0.0005
[11/30][0/1583]	Loss_D: 0.2618	Loss_G: 6.4266	D(x): 0.9914	D(G(z)): 0.2009 / 0.0026
[11/30][500/1583]	Loss_D: 2.9294	Loss_G: 0.6749	D(x): 0.1189	D(G(z)): 0.0007 / 0.5846
[11/30][1000/1583]	Loss_D: 2.4512	Loss_G: 7.0056	D(x): 0.9925	D(G(z)): 0.8431 / 0.0035
[11/30][1500/1583]	Loss_D: 0.2426	Loss_G: 4.4126	D(x): 0.9181	D(G(z)): 0.1193 / 0.0214
[12/30][0/1583]	Loss_D: 0.1924	Loss_G: 4.1493	D(x): 0.8725	D(G(z)): 0.0274 / 0.0308
[12/30][500/1583]	Loss_D: 0.4502	Loss_G: 2.0048	D(x): 0.6830	D(G(z)): 0.0056 / 0.2220
[12/30][1000/1583]	Loss_D: 0.1936	Loss_G: 2.7710	D(x): 0.8769	D(G(z)): 0.0406 / 0.1097
[12/30][1500/1583]	Loss_D: 0.5488	Loss_G: 1.6439	D(x): 0.6627	D(G(z)): 0.0206 / 0.2823
