
[0/20][0/1583]	Loss_D: 1.5293	Loss_G: 9.0900	D(x): 0.5938	D(G(z)): 0.6193 / 0.0001
[0/20][500/1583]	Loss_D: 1.1008	Loss_G: 2.3065	D(x): 0.4401	D(G(z)): 0.1105 / 0.1373
[0/20][1000/1583]	Loss_D: 0.7406	Loss_G: 2.4674	D(x): 0.5708	D(G(z)): 0.0951 / 0.1104
[0/20][1500/1583]	Loss_D: 0.8179	Loss_G: 2.1763	D(x): 0.7726	D(G(z)): 0.3825 / 0.1340
[1/20][0/1583]	Loss_D: 0.4974	Loss_G: 2.7489	D(x): 0.7273	D(G(z)): 0.1286 / 0.0768
[1/20][500/1583]	Loss_D: 0.9048	Loss_G: 2.2249	D(x): 0.4770	D(G(z)): 0.0482 / 0.1534
[1/20][1000/1583]	Loss_D: 0.6943	Loss_G: 0.9015	D(x): 0.7783	D(G(z)): 0.2995 / 0.4688
[1/20][1500/1583]	Loss_D: 1.2505	Loss_G: 6.2543	D(x): 0.9264	D(G(z)): 0.6409 / 0.0029
[2/20][0/1583]	Loss_D: 0.5162	Loss_G: 2.8528	D(x): 0.7420	D(G(z)): 0.1535 / 0.0749
[2/20][500/1583]	Loss_D: 0.1805	Loss_G: 3.7364	D(x): 0.9707	D(G(z)): 0.1338 / 0.0308
[2/20][1000/1583]	Loss_D: 0.3741	Loss_G: 2.6415	D(x): 0.7923	D(G(z)): 0.1073 / 0.0950
[2/20][1500/1583]	Loss_D: 0.5540	Loss_G: 3.8478	D(x): 0.8278	D(G(z)): 0.2685 / 0.0298
[3/20][0/1583]	Loss_D: 0.2124	Loss_G: 4.7393	D(x): 0.9625	D(G(z)): 0.1490 / 0.0122
[3/20][500/1583]	Loss_D: 2.4666	Loss_G: 2.0925	D(x): 0.1671	D(G(z)): 0.0038 / 0.2207
[3/20][1000/1583]	Loss_D: 0.2736	Loss_G: 4.9551	D(x): 0.9355	D(G(z)): 0.1656 / 0.0109
[3/20][1500/1583]	Loss_D: 3.8074	Loss_G: 0.3963	D(x): 0.0448	D(G(z)): 0.0001 / 0.7331
[4/20][0/1583]	Loss_D: 0.6106	Loss_G: 4.9714	D(x): 0.9773	D(G(z)): 0.3952 / 0.0116
[4/20][500/1583]	Loss_D: 0.4956	Loss_G: 3.6027	D(x): 0.7913	D(G(z)): 0.1820 / 0.0385
[4/20][1000/1583]	Loss_D: 0.1477	Loss_G: 3.9263	D(x): 0.9008	D(G(z)): 0.0354 / 0.0348
[4/20][1500/1583]	Loss_D: 0.6708	Loss_G: 1.9047	D(x): 0.5911	D(G(z)): 0.0095 / 0.2347
[5/20][0/1583]	Loss_D: 1.4147	Loss_G: 8.0732	D(x): 0.9927	D(G(z)): 0.6287 / 0.0012
[5/20][500/1583]	Loss_D: 0.3037	Loss_G: 6.4882	D(x): 0.9838	D(G(z)): 0.2216 / 0.0023
